item,telas,técnica,dimensão,ano,valor (r$),valor_pix,parcelamento,categoria,link_mp_pix
51,KOMBI 2,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-b5d855da-32ea-442f-b047-a7204695f79c
52,PORTAS JANELAS 1,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-4cbe0782-819e-4706-b49d-3cb69f63c16c
53,GRADIL SÉC. XIX,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-2eaf78c4-bfa6-4dc5-b25c-e8a2013bc383
54,PENAS TROPICAIS,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-f09c8e7b-ef7f-4a19-a0ba-ca8534eeaf4d
55,JEEP,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-1ea99c61-64e7-4a70-a3f4-975973063b8f
56,PORTAS JANELAS 2,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-238b1cbc-ae69-4637-b320-eb9350985fd7
57,BIKE 1,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-da58be21-3b62-4911-a8dd-12ca2834eb60
58,BIKE 2,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-43ab6cd3-f476-4c5f-bc2d-52a09837b60b
59,LAMBRETTA,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-5d6f8fc6-c83e-4b85-bd58-f153b4929a6f
60,CHEVROLET,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-01273087-6a81-4c2a-8003-d9a090a78385
61,KOMBI 3,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-32d4dd07-bdbb-410a-8ffc-81452672d142
62,GORDINI,ACRÍLICA SOBRE TECIDO,P/M/G,2025,150.0,142.5,"2 =2 50,00 / 3 = 400,00",CAMISAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-91469595-31db-4eeb-a221-72ae6c0bf767
